text,label,mensaje_limpio,tokens,score,prediccion,tokens_reducidos,acepta_glc,clasificacion
Tono de llamada superior gratuito -subir al tono de llamada semanal-obtener la primera semana gratis-enviar SUBPOLY al 81618-?3 por semana-detener sms-08718727870,spam,Tono de llamada superior gratuito subir al tono de llamada semanal obtener la primera semana gratis enviar SUBPOLY al 81618 3 por semana detener sms 08718727870,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'PHONE']",4,spam,"[""text"", ""caps"", ""text"", ""contact""]",False,Spam Atípico
"Doble Mins y 1000 txts en tarifas Orange. ¡Lo último de Motorola, SonyEricsson y Nokia con Bluetooth GRATIS! Llame a MobileUpd8 al 08000839402 o call2optout/HF8",spam,Doble Mins y 1000 txts en tarifas Orange. Lo último de Motorola SonyEricsson y Nokia con Bluetooth GRATIS Llame a MobileUpd8 al 08000839402 o call2optout/HF8,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'PHONE', 'WORD', 'WORD', 'WORD']",4,spam,"[""text"", ""caps"", ""text"", ""contact"", ""text""]",False,Spam Atípico
"SU OPORTUNIDAD DE ESTAR EN UN REALITY FANTASY SHOW llame ahora = 08707509020 Solo 20 peniques por minuto NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 es una llamada nacional = tarifa",spam,SU OPORTUNIDAD DE ESTAR EN UN REALITY FANTASY SHOW llame ahora 08707509020 Solo 20 peniques por minuto NTT Ltd PO Box 1327 Croydon CR9 5WB 0870 es una llamada nacional tarifa,"['WORD', 'CAPS', 'WORD', 'CAPS', 'WORD', 'WORD', 'CAPS', 'CAPS', 'CAPS', 'WORD', 'WORD', 'PHONE', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",9,spam,"[""text"", ""caps"", ""text"", ""caps"", ""text"", ""caps"", ""caps"", ""caps"", ""text"", ""contact"", ""text"", ""caps"", ""text""]",False,Spam Atípico
¿Tenías tu móvil hace 11 meses? Actualice GRATIS a los últimos móviles con cámara en color de Orange y llamadas ilimitadas los fines de semana. Llame a Mobile Upd8 en Freefone 08000839402 o 2StopTxt,spam,Tenías tu móvil hace 11 meses Actualice GRATIS a los últimos móviles con cámara en color de Orange y llamadas ilimitadas los fines de semana. Llame a Mobile Upd8 en Freefone 08000839402 o 2StopTxt,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'PHONE', 'WORD', 'WORD']",4,spam,"[""text"", ""caps"", ""text"", ""contact"", ""text""]",False,Spam Atípico
LLAME al 08712402578 inmediatamente ya que hay un mensaje urgente esperándolo.,spam,LLAME al 08712402578 inmediatamente ya que hay un mensaje urgente esperándolo.,"['CAPS', 'WORD', 'PHONE', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",4,spam,"[""caps"", ""text"", ""contact"", ""text""]",False,Spam Atípico
"pdate_Now: doble minutos y 1000 txts en tarifas Orange. ¡Lo último de Motorola, SonyEricsson, Nokia y Bluetooth GRATIS! Llame a MobileUpd8 al 08000839402 o llame a2optout/!YHL",spam,pdate Now: doble minutos y 1000 txts en tarifas Orange. Lo último de Motorola SonyEricsson Nokia y Bluetooth GRATIS Llame a MobileUpd8 al 08000839402 o llame a2optout/ YHL,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'PHONE', 'WORD', 'WORD', 'WORD', 'CAPS']",5,spam,"[""text"", ""caps"", ""text"", ""contact"", ""text"", ""caps""]",False,Spam Atípico
¡El premio Urgent Ur å£500 garantizado aún no ha sido reclamado! Llame al 09066368327 AHORA fecha de cierre 09/04/02 código de reclamo M39M51 å £1.50 pmmorefrommobile2Bremoved-MobyPOBox734LS27YF,spam,El premio Urgent Ur å 500 garantizado aún no ha sido reclamado Llame al 09066368327 AHORA fecha de cierre 09/04/02 código de reclamo M39M51 å 1.50 pmmorefrommobile2Bremoved MobyPOBox734LS27YF,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'PHONE', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",4,spam,"[""text"", ""contact"", ""caps"", ""text""]",False,Spam Atípico
"Cliente de Orange, ahora puede reclamar su actualización GRATUITA a TELÉFONO CON CÁMARA por su fidelidad. Llame ahora al 0207 153 9996. La oferta finaliza el 14 de marzo. Se aplican términos y condiciones. Optar por no participar disponible",spam,Cliente de Orange ahora puede reclamar su actualización GRATUITA a TELÉFONO CON CÁMARA por su fidelidad. Llame ahora al 0207 153 9996. La oferta finaliza el 14 de marzo. Se aplican términos y condiciones. Optar por no participar disponible,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'CAPS', 'CAPS', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",4,spam,"[""text"", ""caps"", ""text"", ""caps"", ""caps"", ""caps"", ""text""]",False,Spam Atípico
"SERVICIOS DE SMS. Para obtener créditos de texto incluidos, vaya a www.comuk.net login= ***** cancelar la suscripción con STOP. sin cargo adicional. ayuda: 08700469649. APARTADO DE CORREOS 420. IP4 5WE",spam,SERVICIOS DE SMS. Para obtener créditos de texto incluidos vaya a www.comuk.net login cancelar la suscripción con STOP. sin cargo adicional. ayuda: 08700469649. APARTADO DE CORREOS 420. IP4 5WE,"['CAPS', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'URL', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'PHONE', 'CAPS', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD']",10,spam,"[""caps"", ""text"", ""caps"", ""text"", ""contact"", ""text"", ""caps"", ""text"", ""contact"", ""caps"", ""text"", ""caps"", ""text""]",False,Spam Atípico
"Gracias por su pedido de tonos de llamada, referencia T91. Se le cobrarán 4 GBP por semana. Puedes darte de baja en cualquier momento llamando a atención al cliente al 09057039994",spam,Gracias por su pedido de tonos de llamada referencia T91. Se le cobrarán 4 GBP por semana. Puedes darte de baja en cualquier momento llamando a atención al cliente al 09057039994,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'PHONE']",4,spam,"[""text"", ""caps"", ""text"", ""contact""]",False,Spam Atípico
"Puedes GANAR £100 en vales de regalo de música cada semana a partir de AHORA Envía un mensaje de texto con la palabra SORTEO a 87066 TsCs www.Idew.com SkillGame, 1Winaweek, 16 años. 150ppermessSuscripción",spam,Puedes GANAR 100 en vales de regalo de música cada semana a partir de AHORA Envía un mensaje de texto con la palabra SORTEO a 87066 TsCs www.Idew.com SkillGame 1Winaweek 16 años. 150ppermessSuscripción,"['WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'URL', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",5,spam,"[""text"", ""caps"", ""text"", ""caps"", ""text"", ""caps"", ""text"", ""contact"", ""text""]",False,Spam Atípico
"Felicitaciones, puedes reclamar 2 entradas VIP fila A 2 C Blu en concierto en noviembre o regalo de Blu garantizado Llama al 09061104276 para reclamar TS&C www.smsco.net costo £3.75 máx.",spam,Felicitaciones puedes reclamar 2 entradas VIP fila A 2 C Blu en concierto en noviembre o regalo de Blu garantizado Llama al 09061104276 para reclamar TS C www.smsco.net costo 3.75 máx.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'PHONE', 'WORD', 'WORD', 'WORD', 'WORD', 'URL', 'WORD', 'WORD', 'WORD', 'WORD']",6,spam,"[""text"", ""caps"", ""text"", ""contact"", ""text"", ""contact"", ""text""]",False,Spam Atípico
"Urgente -llamar al 09066649731 desde Teléfono Fijo. Sus vacaciones en Ibiza 4* de cortesía o £10,000 en efectivo esperan su cobro Términos y condiciones de SAE PO BOX 434 SK3 8WP 150ppm 18+",spam,Urgente llamar al 09066649731 desde Teléfono Fijo. Sus vacaciones en Ibiza 4 de cortesía o 10 000 en efectivo esperan su cobro Términos y condiciones de SAE PO BOX 434 SK3 8WP 150ppm 18,"['WORD', 'WORD', 'WORD', 'PHONE', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",5,spam,"[""text"", ""contact"", ""text"", ""caps"", ""text"", ""caps"", ""text""]",False,Spam Atípico
