text,label,mensaje_limpio
Esa licencia de una semana la puse en conocimiento de ese tiempo. Por qué.,0,Esa licencia de una semana la puse en conocimiento de ese tiempo. Por qué.
"Sí, seguro que mi amigo ha ordenado todas mis cosas, pero de todos modos voy a sonar promocionando Hex para. Por cierto, ¿quién es? No sé el número. Broma",0,Sí seguro que mi amigo ha ordenado todas mis cosas pero de todos modos voy a sonar promocionando Hex para. Por cierto quién es No sé el número. Broma
"Eh, pero no puedo ir a tu casa con las manos vacías, ¿verdad?",0,Eh pero no puedo ir a tu casa con las manos vacías verdad
"Ya no estamos viendo la película. Xy quiere hacer 2 compras, así que voy a comprar con ella ahora.",0,Ya no estamos viendo la película. Xy quiere hacer 2 compras así que voy a comprar con ella ahora.
¿Yo? Pensé en volver a ponerlo en la caja.,0,Yo Pensé en volver a ponerlo en la caja.
Sé dónde está el &lt;#&gt; es que estaré allí alrededor de las 5,0,Sé dónde está el lt gt es que estaré allí alrededor de las 5
Quiero enviar &lt;#&gt; mensajes de hoy. Eso es. lo siento si me duele,0,Quiero enviar lt gt mensajes de hoy. Eso es. lo siento si me duele
"Hola cariño, acabo de regresar del trabajo y ¡quería verte todo el día! Espero no haberte cabreado hoy por teléfono. Si estás despierto llámame xxx",0,Hola cariño acabo de regresar del trabajo y quería verte todo el día Espero no haberte cabreado hoy por teléfono. Si estás despierto llámame xxx
"Él nunca se queja, pero yo estoy triste... Hee... Cómprelo después del almuerzo. Pero todavía nos reunimos a las 4 para el almuerzo y no. Neva escucha de ellos lei. ¿Tengo mucho trabajo?",0,Él nunca se queja pero yo estoy triste... Hee... Cómprelo después del almuerzo. Pero todavía nos reunimos a las 4 para el almuerzo y no. Neva escucha de ellos lei. Tengo mucho trabajo
Sí:)sura en sun tv.:)jaja.,0,Sí: sura en sun tv.: jaja.
Pensé que deslizar era suficiente.,0,Pensé que deslizar era suficiente.
Que tengas un buen día hoy. Te amo muchísimo.,0,Que tengas un buen día hoy. Te amo muchísimo.
Hola mi dirección de correo electrónico ha cambiado ahora es,0,Hola mi dirección de correo electrónico ha cambiado ahora es
"vida alle mone,eppolum oru pole allalo",0,vida alle mone eppolum oru pole allalo
"¡Conseguí otro trabajo! ¡El del hospital haciendo análisis de datos o algo así, comienza el lunes! No estoy seguro de cuándo terminará mi tesis.",0,Conseguí otro trabajo El del hospital haciendo análisis de datos o algo así comienza el lunes No estoy seguro de cuándo terminará mi tesis.
¿A qué hora quieres verme más tarde?,0,A qué hora quieres verme más tarde
Después de la droga podrá comer.,0,Después de la droga podrá comer.
"Según su solicitud, 'Maangalyam (Alaipayuthe)' se ha configurado como su tono de llamada para todas las personas que llaman. Presiona *9 para copiar Callertune de tus amigos",0,Según su solicitud Maangalyam Alaipayuthe se ha configurado como su tono de llamada para todas las personas que llaman. Presiona 9 para copiar Callertune de tus amigos
Cuéntale querido lo que te pasa. ¿Por qué me hablas como un alienígena?,0,Cuéntale querido lo que te pasa. Por qué me hablas como un alienígena
Tú también...,0,Tú también...
"NOKIA o Motorola GRATIS con hasta 12 meses de alquiler lineal a 1/2 precio, 500 minutos x-net GRATIS y 100 txt/mes GRATIS B'tooth*. Llame a Mobileupd8 al 08001950382 o llame a 2optout/D3WV",1,NOKIA o Motorola GRATIS con hasta 12 meses de alquiler lineal a 1/2 precio 500 minutos x net GRATIS y 100 txt/mes GRATIS B tooth . Llame a Mobileupd8 al 08001950382 o llame a 2optout/D3WV
"¡Llame al 09094100151 para usar sus minutos! Las llamadas se emiten a 10 p/min (la mafia varía). Servicio proporcionado por AOM, solo 5 GBP al mes. AOM Box61,M60 1ER hasta que te detengas. ¡Solo mayores de 18 años!",1,Llame al 09094100151 para usar sus minutos Las llamadas se emiten a 10 p/min la mafia varía . Servicio proporcionado por AOM solo 5 GBP al mes. AOM Box61 M60 1ER hasta que te detengas. Solo mayores de 18 años
¿Quieres un nuevo videoteléfono? 750 en cualquier momento ¿algún minuto de red? ¿Alquiler de línea a mitad de precio y texto gratis durante 3 meses? Responde o llama al 08000930705 para envío gratis,1,Quieres un nuevo videoteléfono 750 en cualquier momento algún minuto de red Alquiler de línea a mitad de precio y texto gratis durante 3 meses Responde o llama al 08000930705 para envío gratis
Tienes un anuncio importante de servicio al cliente. ¡Llame al TELÉFONO GRATUITO 0800 542 0825 ahora!,1,Tienes un anuncio importante de servicio al cliente. Llame al TELÉFONO GRATUITO 0800 542 0825 ahora
Tienes un anuncio importante de servicio al cliente. ¡Llame al TELÉFONO GRATUITO 0800 542 0825 ahora!,1,Tienes un anuncio importante de servicio al cliente. Llame al TELÉFONO GRATUITO 0800 542 0825 ahora
"Su saldo de efectivo es actualmente de 500 libras; para maximizar su ingreso de efectivo, envíe GO al 86688 solo 150 peniques/mensaje. CC 08718720201 HG/Suite342/2Fila de tierras/W1J6HL",1,Su saldo de efectivo es actualmente de 500 libras para maximizar su ingreso de efectivo envíe GO al 86688 solo 150 peniques/mensaje. CC 08718720201 HG/Suite342/2Fila de tierras/W1J6HL
"Nena: ¿Me quieres, verdad, nena? Soy desagradable y tengo algo con 4 tipos sucios. Te apetece pasar un momento grosero con una perra sexy. ¿Qué tal si vamos despacio y con fuerza? Texto XXX SLO(4msgs)",1,Nena: Me quieres verdad nena Soy desagradable y tengo algo con 4 tipos sucios. Te apetece pasar un momento grosero con una perra sexy. Qué tal si vamos despacio y con fuerza Texto XXX SLO 4msgs
¿Quieres SEXO explícito en 30 segundos? Llama al 02073162414 ahora! Cuesta 20p/min Gsex POBOX 2667 WC1N 3XX,1,Quieres SEXO explícito en 30 segundos Llama al 02073162414 ahora Cuesta 20p/min Gsex POBOX 2667 WC1N 3XX
"TONO DE LLAMADA GRATIS envía un mensaje de texto PRIMERO al 87131 para obtener un poli o envía un mensaje de texto ¡LLEGA al 87131 para obtener un tono verdadero! ¿Ayuda? 0845 2814032 16 después del primero gratis, los tonos son 3xå£150pw para finalizar la parada de texto",1,TONO DE LLAMADA GRATIS envía un mensaje de texto PRIMERO al 87131 para obtener un poli o envía un mensaje de texto LLEGA al 87131 para obtener un tono verdadero Ayuda 0845 2814032 16 después del primero gratis los tonos son 3xå 150pw para finalizar la parada de texto
Chat duro LIVE 121 a solo 60p/min. Elige a tu chica y conéctate EN VIVO. Llama ahora al 09094646899! El servicio en vivo más grande de Cheap Chat UK. VU BCM1896WC1N3XX,1,Chat duro LIVE 121 a solo 60p/min. Elige a tu chica y conéctate EN VIVO. Llama ahora al 09094646899 El servicio en vivo más grande de Cheap Chat UK. VU BCM1896WC1N3XX
¡PRIVADO! Su estado de cuenta de 2003 muestra 800 tarjetas SIM no canjeadas. puntos. Llamar 08718738001 Código Identificador: 49557 Vence el 26/11/04,1,PRIVADO Su estado de cuenta de 2003 muestra 800 tarjetas SIM no canjeadas. puntos. Llamar 08718738001 Código Identificador: 49557 Vence el 26/11/04
Gracias por su continuo apoyo. Su pregunta de esta semana participará en nuestro sorteo de £100 en efectivo. ¿Nombre al NUEVO presidente de los Estados Unidos? texto y respuesta a 80082,1,Gracias por su continuo apoyo. Su pregunta de esta semana participará en nuestro sorteo de 100 en efectivo. Nombre al NUEVO presidente de los Estados Unidos texto y respuesta a 80082
+449071512431 ¡URGENTE! ¡Este es el segundo intento de contactar a U! U ha GANADO £ 1250 LLAME AL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. costo de llamada 150ppm móvilesvariar. máximo £ 7. 50,1,449071512431 URGENTE Este es el segundo intento de contactar a U U ha GANADO 1250 LLAME AL 09071512433 b4 050703 T CsBCM4235WC1N3XX. costo de llamada 150ppm móvilesvariar. máximo 7. 50
"¡Has ganado 1.000€ en efectivo o un premio de 2.000€! Para reclamar llamar al 09050000327. Términos y condiciones: RSTM, SW7 3SS. 150 ppm",1,Has ganado 1.000 en efectivo o un premio de 2.000 Para reclamar llamar al 09050000327. Términos y condiciones: RSTM SW7 3SS. 150 ppm
"Como suscriptor de SIM, ¡estás seleccionado para recibir un bono! Recíbalo en su puerta. Envíe un mensaje de texto con la palabra OK al número: 88600 para reclamar. 150p/mensaje, EXP. 30abr",1,Como suscriptor de SIM estás seleccionado para recibir un bono Recíbalo en su puerta. Envíe un mensaje de texto con la palabra OK al número: 88600 para reclamar. 150p/mensaje EXP. 30abr
"¿Quieres echar un polvo? ¿Quieres que se envíen ubicaciones reales de Doggin directamente a tu móvil? Únase a la red de perros más grande del Reino Unido. Envía mensajes de texto a los perros al 69696 ahora! nyt. ec2a. 3lp å£1,50/mensaje.",1,Quieres echar un polvo Quieres que se envíen ubicaciones reales de Doggin directamente a tu móvil Únase a la red de perros más grande del Reino Unido. Envía mensajes de texto a los perros al 69696 ahora nyt. ec2a. 3lp å 1 50/mensaje.
"Gracias por su pedido de tono de llamada, número de referencia X29. Tu móvil se cargará 4,50. Si su tono no llega, llame a atención al cliente 09065989180",1,Gracias por su pedido de tono de llamada número de referencia X29. Tu móvil se cargará 4 50. Si su tono no llega llame a atención al cliente 09065989180
"Hola, 07734396839 Oferta de fidelización del cliente de IBH: ¡El NUEVO móvil NOKIA6600 desde SÓLO £ 10 en TXTAUCTION! Envíe un mensaje de texto: COMIENCE al número: 81151 y obtenga el suyo ahora.",1,Hola 07734396839 Oferta de fidelización del cliente de IBH: El NUEVO móvil NOKIA6600 desde SÓLO 10 en TXTAUCTION Envíe un mensaje de texto: COMIENCE al número: 81151 y obtenga el suyo ahora.
"¿Tenías tu contrato de móvil de 11 meses? ¡Lo último de Motorola, Nokia, etc., todo GRATIS! Doble Minutos y Textos en tarifas Orange. ENVÍA UN MENSAJE SÍ para devolver la llamada, no para eliminarlo de los registros.",1,Tenías tu contrato de móvil de 11 meses Lo último de Motorola Nokia etc. todo GRATIS Doble Minutos y Textos en tarifas Orange. ENVÍA UN MENSAJE SÍ para devolver la llamada no para eliminarlo de los registros.
"Como cliente valioso, me complace informarle que después de una revisión reciente de su número de Mob, recibirá un premio de bonificación de £ 1500, llame al 09066364589.",1,Como cliente valioso me complace informarle que después de una revisión reciente de su número de Mob recibirá un premio de bonificación de 1500 llame al 09066364589.
UR otorgó un City Break y podría GANAR unas compras de verano de £200 cada semana. Envíe un mensaje de texto a STORE al 88039.SkilGme.TsCs087147403231Winawk!Edad16+å£1.50porWKsub,1,UR otorgó un City Break y podría GANAR unas compras de verano de 200 cada semana. Envíe un mensaje de texto a STORE al 88039.SkilGme.TsCs087147403231Winawk Edad16 å 1.50porWKsub
"¡Felicitaciones! 2 Videoteléfonos móviles 3G R tuyos. llama al 09061744553 ahora! chatea por video con tus amigos, juega juegos java, descarga música poliH, no hay alquiler en línea. bx420. ip4. 5nosotros. 150 p.m.",1,Felicitaciones 2 Videoteléfonos móviles 3G R tuyos. llama al 09061744553 ahora chatea por video con tus amigos juega juegos java descarga música poliH no hay alquiler en línea. bx420. ip4. 5nosotros. 150 p.m.
Ringtone Club: ¡Gr8 nuevos polis directos a tu móvil cada semana!,1,Ringtone Club: Gr8 nuevos polis directos a tu móvil cada semana
"Tienes un admirador secreto. REVELA quién piensa que eres tan especial. Llame al 09065174042. Para cancelar su suscripción, responda REVEAL STOP. 1.50 por mensaje registrado. Atención al cliente 07821230901",1,Tienes un admirador secreto. REVELA quién piensa que eres tan especial. Llame al 09065174042. Para cancelar su suscripción responda REVEAL STOP. 1.50 por mensaje registrado. Atención al cliente 07821230901
Usted es un ganador y ha sido seleccionado especialmente para recibir £1000 en efectivo o un premio de £2000. Hable con un operador en vivo para reclamar llame al 087147123779 am-7 pm. Cuesta 10p,1,Usted es un ganador y ha sido seleccionado especialmente para recibir 1000 en efectivo o un premio de 2000. Hable con un operador en vivo para reclamar llame al 087147123779 am 7 pm. Cuesta 10p
Hola soy demanda. Tengo 20 años y trabajo como lapdancer. Me encanta el sexo. Envíame un mensaje de texto en vivo: ahora estoy en mi habitación. envíe un mensaje de texto con SUE al 89555. Por TextOperator G2 1DA 150 ppmsg 18+,1,Hola soy demanda. Tengo 20 años y trabajo como lapdancer. Me encanta el sexo. Envíame un mensaje de texto en vivo: ahora estoy en mi habitación. envíe un mensaje de texto con SUE al 89555. Por TextOperator G2 1DA 150 ppmsg 18
fanáticos de los deportes: obtenga las últimas noticias deportivas str* 2 ur mobile 1 semana GRATIS MÁS un TONO GRATIS Envíe un mensaje de texto con SPORT ON al 8007 www.getzed.co.uk 0870141701216+ norma 4txt/120p,1,fanáticos de los deportes: obtenga las últimas noticias deportivas str 2 ur mobile 1 semana GRATIS MÁS un TONO GRATIS Envíe un mensaje de texto con SPORT ON al 8007 www.getzed.co.uk 0870141701216 norma 4txt/120p
"Hola, las chicas de SEXYCHAT están esperando que les envíes un mensaje de texto. Envía mensajes de texto ahora para pasar una excelente noche de charla. envía STOP para detener este servicio",1,Hola las chicas de SEXYCHAT están esperando que les envíes un mensaje de texto. Envía mensajes de texto ahora para pasar una excelente noche de charla. envía STOP para detener este servicio
"¡URGENTE! Su número de móvil **************** ¡GANÓ un premio de bonificación de £2000 para llamadas el 06/10/03! ¡Este es el segundo intento de comunicarnos con usted! ¡Llame al 09066368753 lo antes posible! Caja 97N7QP, 150 ppm",1,URGENTE Su número de móvil GANÓ un premio de bonificación de 2000 para llamadas el 06/10/03 Este es el segundo intento de comunicarnos con usted Llame al 09066368753 lo antes posible Caja 97N7QP 150 ppm
"RECORDATORIO DE O2: Para obtener 2,50 libras de crédito de llamada gratis y detalles de excelentes ofertas, responda 2 este mensaje de texto con su nombre válido, número de casa y código postal.",1,RECORDATORIO DE O2: Para obtener 2 50 libras de crédito de llamada gratis y detalles de excelentes ofertas responda 2 este mensaje de texto con su nombre válido número de casa y código postal.
¿Te gustaría ver mis fotos XXX? ¡Son tan calientes que casi fueron prohibidas en el Reino Unido!,1,Te gustaría ver mis fotos XXX Son tan calientes que casi fueron prohibidas en el Reino Unido
"¡Alguien tímido ha solicitado nuestro servicio de citas! LLAME 09058091870 AHORA todo será revelado. POBox84, M26 3UZ 150p",1,Alguien tímido ha solicitado nuestro servicio de citas LLAME 09058091870 AHORA todo será revelado. POBox84 M26 3UZ 150p
"¡¡GANADOR!! Como valioso cliente de la red, ha sido seleccionado para recibir un premio de £900. Para reclamar llame al 09061701461. Código de reclamo KL341. Válido sólo 12 horas.",1,GANADOR Como valioso cliente de la red ha sido seleccionado para recibir un premio de 900. Para reclamar llame al 09061701461. Código de reclamo KL341. Válido sólo 12 horas.
"Mila, 23 años, rubia, nueva en Reino Unido. Busco sexo con chicos del Reino Unido. si te gusta divertirte conmigo. Envíe MTALK al 69866.18. 30pp/txt 1º 5gratis. En incrementos de £1,50. Ayuda08718728876",1,Mila 23 años rubia nueva en Reino Unido. Busco sexo con chicos del Reino Unido. si te gusta divertirte conmigo. Envíe MTALK al 69866.18. 30pp/txt 1º 5gratis. En incrementos de 1 50. Ayuda08718728876
Kit Strip: te han facturado 150 peniques. Netcollex Ltd. Apartado postal 1013 IG11 OJA,1,Kit Strip: te han facturado 150 peniques. Netcollex Ltd. Apartado postal 1013 IG11 OJA
"HOT LIVE FANTASIES llame ahora al 08707500020 Solo 20 peniques por minuto NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 es una llamada con tarifa nacional",1,HOT LIVE FANTASIES llame ahora al 08707500020 Solo 20 peniques por minuto NTT Ltd PO Box 1327 Croydon CR9 5WB 0870 es una llamada con tarifa nacional
"¡URGENTE! Su número de móvil recibió un premio adicional de £2000 para llamadas el 9 de mayo de 2003. ¡Éste es nuestro último intento de contactarlo! Llamada desde Fijo 09064019788 BOX42WR29C, 150PPM",1,URGENTE Su número de móvil recibió un premio adicional de 2000 para llamadas el 9 de mayo de 2003. Éste es nuestro último intento de contactarlo Llamada desde Fijo 09064019788 BOX42WR29C 150PPM
Anuncio de atención al cliente. Recientemente intentamos realizarle una entrega pero no pudimos hacerlo. Llame al 07099833605 para reprogramar. Ref:9280114,1,Anuncio de atención al cliente. Recientemente intentamos realizarle una entrega pero no pudimos hacerlo. Llame al 07099833605 para reprogramar. Ref:9280114
¡PRIVADO! Su estado de cuenta de 2003 para 07808 XXXXXX muestra 800 puntos S. I. M. no canjeados. Llamar 08719899217 Código Identificador: 41685 Vence el 11/07/04,1,PRIVADO Su estado de cuenta de 2003 para 07808 XXXXXX muestra 800 puntos S. I. M. no canjeados. Llamar 08719899217 Código Identificador: 41685 Vence el 11/07/04
Tono de llamada superior gratuito -subir al tono de llamada semanal-obtener la primera semana gratis-enviar SUBPOLY al 81618-?3 por semana-detener sms-08718727870,1,Tono de llamada superior gratuito subir al tono de llamada semanal obtener la primera semana gratis enviar SUBPOLY al 81618 3 por semana detener sms 08718727870
"Esta es la segunda vez que intentamos comunicarnos con usted. Has ganado el premio de 400 £. 2 reclamar es fácil, ¡solo llama al 087104711148 AHORA! Sólo 10p por minuto. BT-tarifa-nacional",1,Esta es la segunda vez que intentamos comunicarnos con usted. Has ganado el premio de 400 . 2 reclamar es fácil solo llama al 087104711148 AHORA Sólo 10p por minuto. BT tarifa nacional
8007 25p 4 La canción Children in Need de Alfie Moon en tu mafia. Dile a tus m8. Envíe un mensaje de texto con TONE CHARITY al 8007 para nokias o POLY CHARITY para polis :zed 08701417012 beneficio 2 caridad,1,8007 25p 4 La canción Children in Need de Alfie Moon en tu mafia. Dile a tus m8. Envíe un mensaje de texto con TONE CHARITY al 8007 para nokias o POLY CHARITY para polis :zed 08701417012 beneficio 2 caridad
Hola. Necesitamos algunos pájaros y tipos elegantes que utilicen productos de prueba para c0pneys. ¿Puedo bajarte? Necesito tu dirección y fecha de nacimiento lo antes posible. tar,1,Hola. Necesitamos algunos pájaros y tipos elegantes que utilicen productos de prueba para c0pneys. Puedo bajarte Necesito tu dirección y fecha de nacimiento lo antes posible. tar
¡Urgente! Por favor llame al 09061213237 desde un teléfono fijo. å£5000 en efectivo o unas vacaciones de 4* esperan su recogida. Términos y condiciones SAE PO Box 177 M227XY. 16+,1,Urgente Por favor llame al 09061213237 desde un teléfono fijo. å 5000 en efectivo o unas vacaciones de 4 esperan su recogida. Términos y condiciones SAE PO Box 177 M227XY. 16
"El saldo de efectivo de su HMV Quiz es actualmente de £ 500. Para maximizar su ingreso de efectivo, envíe HMV1 al 86688 solo 150 p/ms.",1,El saldo de efectivo de su HMV Quiz es actualmente de 500. Para maximizar su ingreso de efectivo envíe HMV1 al 86688 solo 150 p/ms.
Has ganado un nokia 6230 y una cámara digital gratuita. Esto es lo que obtienes cuando ganas nuestra subasta GRATUITA. Para participar envía NOKIA al 83383 ahora. POBOX114/14TCR/W1 16,1,Has ganado un nokia 6230 y una cámara digital gratuita. Esto es lo que obtienes cuando ganas nuestra subasta GRATUITA. Para participar envía NOKIA al 83383 ahora. POBOX114/14TCR/W1 16
"HOT LIVE FANTASIES llame ahora al 08707509020 Solo 20 peniques por minuto NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 es una llamada con tarifa nacional",1,HOT LIVE FANTASIES llame ahora al 08707509020 Solo 20 peniques por minuto NTT Ltd PO Box 1327 Croydon CR9 5WB 0870 es una llamada con tarifa nacional
Se ha enviado un enlace a tu foto. También puedes usar http://alto18.co.uk/wave/wave.asp?o=44345,1,Se ha enviado un enlace a tu foto. También puedes usar http://alto18.co.uk/wave/wave.asp o 44345
"Gracias por su pedido de tono de llamada, número de referencia R836. Se cargará a tu móvil 4,50 £. Si su tono no llega, llame a atención al cliente al 09065069154",1,Gracias por su pedido de tono de llamada número de referencia R836. Se cargará a tu móvil 4 50 . Si su tono no llega llame a atención al cliente al 09065069154
07732584351 - Rodger Burns - MSG = Intentamos llamarlo para responder a nuestro SMS y solicitar un móvil Nokia + una videocámara gratis. Por favor llame ahora al 08000930705 para la entrega mañana.,1,07732584351 Rodger Burns MSG Intentamos llamarlo para responder a nuestro SMS y solicitar un móvil Nokia una videocámara gratis. Por favor llame ahora al 08000930705 para la entrega mañana.
