text,label,mensaje_limpio,tokens,score,prediccion
"No estoy trabajando, pero estoy al tanto de la filosofía, así que te enviaré un mensaje de texto más tarde cuando estés un poco más libre para charlar...",ham,No estoy trabajando pero estoy al tanto de la filosofía así que te enviaré un mensaje de texto más tarde cuando estés un poco más libre para charlar...,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
"Sé cómo estás, espero que estés bien, todo sobre ti durante 2 días. Te amo y te extraño. Cuídate.",ham,Sé cómo estás espero que estés bien todo sobre ti durante 2 días. Te amo y te extraño. Cuídate.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
Solo tengo curiosidad porque mi primo me preguntó qué estaba haciendo.,ham,Solo tengo curiosidad porque mi primo me preguntó qué estaba haciendo.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
Consulta con nuerólogo.,ham,Consulta con nuerólogo.,"['WORD', 'WORD', 'WORD']",0,ham
"Mm le pides que venga, es suficiente :-)",ham,Mm le pides que venga es suficiente :,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
"Entonces, ¿quieres venir a cenar esta noche?",ham,Entonces quieres venir a cenar esta noche,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
"Recibí tu correo Dileep. Muchas gracias y espero mucho apoyo... muy pocos contactos aquí, recuerda un venugopal que mencionaste. Mañana, si no es tarde, intentaré llegar hasta allí. Buenas noches, querida.",ham,Recibí tu correo Dileep. Muchas gracias y espero mucho apoyo... muy pocos contactos aquí recuerda un venugopal que mencionaste. Mañana si no es tarde intentaré llegar hasta allí. Buenas noches querida.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
Gud ni8.swt drms.cuídate,ham,Gud ni8.swt drms.cuídate,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
¿Estás despierto? ¿Hay nieve allí?,ham,Estás despierto Hay nieve allí,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
Mi querida hermana. Cómo estás. ¿Cuándo se reanudarán las clases? ¿Existe un período mínimo de espera antes de volver a presentar la solicitud? cuidate,ham,Mi querida hermana. Cómo estás. Cuándo se reanudarán las clases Existe un período mínimo de espera antes de volver a presentar la solicitud cuidate,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
¿Ver? Lo pensé todo,ham,Ver Lo pensé todo,"['WORD', 'WORD', 'WORD', 'WORD']",0,ham
"Hola amigo, ¿cuál es la mejor manera de evitar malentendidos con nuestro ser querido?",ham,Hola amigo cuál es la mejor manera de evitar malentendidos con nuestro ser querido,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
"Oh, simplemente vengarme de ti... ¿tú?",ham,Oh simplemente vengarme de ti... tú,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
La mayor prueba de coraje en la tierra es soportar la derrota sin desanimarse....gn tc,ham,La mayor prueba de coraje en la tierra es soportar la derrota sin desanimarse....gn tc,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
Ya he llegado.,ham,Ya he llegado.,"['WORD', 'WORD', 'WORD']",0,ham
"Sí, probablemente antes de eso.",ham,Sí probablemente antes de eso.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
"Tienes razón. Mientras tanto, ¿cómo va el proyecto gemelos?",ham,Tienes razón. Mientras tanto cómo va el proyecto gemelos,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
"Da es un buen jugador, por eso no está vendido.",ham,Da es un buen jugador por eso no está vendido.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
"Él lo hará, ¿ustedes cierran?",ham,Él lo hará ustedes cierran,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
U wan 2 medio almuerzo. Estoy en la cantina ahora.,ham,U wan 2 medio almuerzo. Estoy en la cantina ahora.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
"Gracias de nuevo por tu respuesta de hoy. ¿Cuándo llegará tu visa? Y todavía estás comprando el gucci y los bolsos. Las cosas de mi hermana no son fáciles, el tío john también tiene sus propias facturas así que realmente necesito pensar en cómo ganar mi propio dinero. Más tarde sha.",ham,Gracias de nuevo por tu respuesta de hoy. Cuándo llegará tu visa Y todavía estás comprando el gucci y los bolsos. Las cosas de mi hermana no son fáciles el tío john también tiene sus propias facturas así que realmente necesito pensar en cómo ganar mi propio dinero. Más tarde sha.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
"Hola señor y yo vamos a ir a la vista al mar y tener un par de gays, ¡me refiero a juegos! Dame una campana cuando termines",ham,Hola señor y yo vamos a ir a la vista al mar y tener un par de gays me refiero a juegos Dame una campana cuando termines,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
¿Todavía estás recibiendo los productos?,ham,Todavía estás recibiendo los productos,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
No sé lei... Podría estar comiendo con mis amigos... Si quiero comer entonces espero 4 Ì_ lar,ham,No sé lei... Podría estar comiendo con mis amigos... Si quiero comer entonces espero 4 Ì lar,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
Ranjith cal drpd Deeraj y deepak 5 minutos de espera,ham,Ranjith cal drpd Deeraj y deepak 5 minutos de espera,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
¿Has tenido noticias de esta semana?,ham,Has tenido noticias de esta semana,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
Probablemente estaré mañana (o incluso más tarde esta noche si sucede algo),ham,Probablemente estaré mañana o incluso más tarde esta noche si sucede algo,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
A las 7 nos vamos ok na.,ham,A las 7 nos vamos ok na.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
Hola envíame un mensaje :)Estoy en la oficina..,ham,Hola envíame un mensaje : Estoy en la oficina..,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
HIYA STU WOT U UP 2.ESTOY EN TANTOS PROBLEMAS EN CASA EN EL MOMENTO EVONE ME ODIA INCLUSO U! ¿QUÉ DEMONIOS HE HECHO AHORA? Y NO ME DIRÁS TEXTO BCK POR FAVOR LUV DAN,ham,HIYA STU WOT U UP 2.ESTOY EN TANTOS PROBLEMAS EN CASA EN EL MOMENTO EVONE ME ODIA INCLUSO U QUÉ DEMONIOS HE HECHO AHORA Y NO ME DIRÁS TEXTO BCK POR FAVOR LUV DAN,"['CAPS', 'CAPS', 'CAPS', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'CAPS', 'CAPS', 'WORD', 'CAPS', 'WORD', 'WORD', 'CAPS', 'CAPS', 'WORD', 'CAPS', 'CAPS', 'WORD', 'CAPS', 'CAPS', 'WORD', 'CAPS', 'CAPS', 'WORD', 'WORD', 'WORD', 'CAPS', 'CAPS', 'CAPS', 'CAPS', 'CAPS', 'CAPS', 'CAPS']",22,spam
Gracias por estar ahí para mí sólo para hablar el sábado. Tu eres muy querido para mi. Aprecio tenerte como hermano y modelo a seguir.,ham,Gracias por estar ahí para mí sólo para hablar el sábado. Tu eres muy querido para mi. Aprecio tenerte como hermano y modelo a seguir.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
LOL lo que pasa en Las Vegas se queda en Las Vegas,ham,LOL lo que pasa en Las Vegas se queda en Las Vegas,"['CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",1,ham
"Hai priya, ¿tienes razón? Lo que dijo el doctor pa. Dónde estás.",ham,Hai priya tienes razón Lo que dijo el doctor pa. Dónde estás.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
Y cuando hayas terminado me refiero a ahora,ham,Y cuando hayas terminado me refiero a ahora,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
¡Solo espero que sea cierto que me extrañas porque realmente lo extraño a él! Aún no has hecho nada por lo que sentirte culpable.,ham,Solo espero que sea cierto que me extrañas porque realmente lo extraño a él Aún no has hecho nada por lo que sentirte culpable.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
Gran NUEVA Oferta: DOBLE Minutos y DOBLE Texto con las mejores tarifas de Orange ¡Y obtenga los últimos teléfonos con cámara 4 GRATIS! ¡Llame a MobileUpd8 gratis al 08000839402 AHORA! o 2stoptxt Términos y condiciones,spam,Gran NUEVA Oferta: DOBLE Minutos y DOBLE Texto con las mejores tarifas de Orange Y obtenga los últimos teléfonos con cámara 4 GRATIS Llame a MobileUpd8 gratis al 08000839402 AHORA o 2stoptxt Términos y condiciones,"['WORD', 'CAPS', 'WORD', 'CAPS', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'PHONE', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",8,spam
"Esta es la segunda vez que intentamos contactarte. Has ganado el premio de 750 libras. 2 reclamar es fácil, llama al 08712101358 YA! Sólo 10 peniques por minuto. BT-tarifa-nacional",spam,Esta es la segunda vez que intentamos contactarte. Has ganado el premio de 750 libras. 2 reclamar es fácil llama al 08712101358 YA Sólo 10 peniques por minuto. BT tarifa nacional,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'PHONE', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",3,ham
"TheMob> Echa un vistazo a nuestra selección más reciente de contenido, juegos, tonos, chismes, chicas y deportes. Mantén tu móvil en forma y envía mensajes de texto originales mediante WAP al 82468.",spam,TheMob Echa un vistazo a nuestra selección más reciente de contenido juegos tonos chismes chicas y deportes. Mantén tu móvil en forma y envía mensajes de texto originales mediante WAP al 82468.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD']",1,ham
"CD 4u: Felicitaciones, recibió 500 £ en vales de regalo de CD o 125 £ de regalo garantizado y entrada gratuita 2. Sorteo semanal de 100 £ xt MUSIC a 87066 TnC www.ldew.com1win150ppmx3age16",spam,CD 4u: Felicitaciones recibió 500 en vales de regalo de CD o 125 de regalo garantizado y entrada gratuita 2. Sorteo semanal de 100 xt MUSIC a 87066 TnC www.ldew.com1win150ppmx3age16,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'URL']",3,ham
"¿Crees que eres inteligente? Gana £200 esta semana en nuestro cuestionario semanal, envía un mensaje de texto con PLAY al 85222 ahora. Términos y condiciones WinnersClub PO BOX 84, M26 3UZ. 16+. 1,50 GBP/semana",spam,Crees que eres inteligente Gana 200 esta semana en nuestro cuestionario semanal envía un mensaje de texto con PLAY al 85222 ahora. Términos y condiciones WinnersClub PO BOX 84 M26 3UZ. 16 . 1 50 GBP/semana,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD']",3,ham
"Mensaje gratuito: Reclame sus 250 mensajes SMS. Envíe un mensaje de texto con OK al 84025 ahora. Utilice web2mobile con sus amigos, etc. Únase a Txt250.com por 1,50 p/semana. T&C BOX139, LA32WU. dieciséis . Eliminar txtX o detener",spam,Mensaje gratuito: Reclame sus 250 mensajes SMS. Envíe un mensaje de texto con OK al 84025 ahora. Utilice web2mobile con sus amigos etc. Únase a Txt250.com por 1 50 p/semana. T C BOX139 LA32WU. dieciséis . Eliminar txtX o detener,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",1,ham
¡PRIVADO! Su estado de cuenta de 2003 muestra 800 tarjetas SIM no canjeadas. puntos. Llamar 08718738001 Código Identificador: 49557 Vence el 26/11/04,spam,PRIVADO Su estado de cuenta de 2003 muestra 800 tarjetas SIM no canjeadas. puntos. Llamar 08718738001 Código Identificador: 49557 Vence el 26/11/04,"['CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'PHONE', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",5,spam
URGENTE Este es nuestro segundo intento de comunicarnos con U. Su premio de £ 900 de AYER todavía está pendiente de ser recogido. Para reclamar LLAMA YA 09061702893,spam,URGENTE Este es nuestro segundo intento de comunicarnos con U. Su premio de 900 de AYER todavía está pendiente de ser recogido. Para reclamar LLAMA YA 09061702893,"['CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'PHONE']",6,spam
Update_Now - Alquiler de línea naranja a mitad de precio por 12 meses: 400 minutos...Llame a MobileUpd8 al 08000839402 o call2optout=J5Q,spam,Update Now Alquiler de línea naranja a mitad de precio por 12 meses: 400 minutos...Llame a MobileUpd8 al 08000839402 o call2optout J5Q,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'PHONE', 'WORD', 'WORD', 'WORD']",3,ham
Nuestro nuevo servicio de música móvil ya está disponible. El reproductor de música gratuito llegará en breve. Simplemente instálelo en su teléfono para buscar contenido de los mejores artistas.,spam,Nuestro nuevo servicio de música móvil ya está disponible. El reproductor de música gratuito llegará en breve. Simplemente instálelo en su teléfono para buscar contenido de los mejores artistas.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
"Urgent UR otorgó un viaje de cortesía a EuroDisinc Trav, Aco&Entry41 o å£1000. Para reclamar, envíe un mensaje de texto DIS al 87121 18+6*å £1,50 (moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",spam,Urgent UR otorgó un viaje de cortesía a EuroDisinc Trav Aco Entry41 o å 1000. Para reclamar envíe un mensaje de texto DIS al 87121 18 6 å 1 50 moreFrmMob. ShrAcomOrSglSuplt 10 LS1 3AJ,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",1,ham
"¡Tiene garantizado el último teléfono Nokia, un reproductor iPod MP3 de 40 GB o un premio de £500! Palabra de texto: RECOGER al No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18",spam,Tiene garantizado el último teléfono Nokia un reproductor iPod MP3 de 40 GB o un premio de 500 Palabra de texto: RECOGER al No: 83355 IBHltd LdnW15H 150p/Mtmsgrcvd18,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",1,ham
Le dice que llame al 09066358152 para reclamar un premio de £ 5000. Tienes que ingresar todos tus datos móviles y personales en las indicaciones. ¡Cuidadoso!,spam,Le dice que llame al 09066358152 para reclamar un premio de 5000. Tienes que ingresar todos tus datos móviles y personales en las indicaciones. Cuidadoso,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'PHONE', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",3,ham
¿Quieres un nuevo teléfono de vídeo? 750 en cualquier momento ¿algún minuto de red? ¿Alquiler de línea a mitad de precio? ¿Videocámara? Responde o llama al 08000930705 para entrega mañana,spam,Quieres un nuevo teléfono de vídeo 750 en cualquier momento algún minuto de red Alquiler de línea a mitad de precio Videocámara Responde o llama al 08000930705 para entrega mañana,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'PHONE', 'WORD', 'WORD', 'WORD']",3,ham
MENSAJE GRATIS Activa tus 500 Mensajes de Texto GRATIS respondiendo este mensaje con la palabra GRATIS Para términos y condiciones visita www.07781482378.com,spam,MENSAJE GRATIS Activa tus 500 Mensajes de Texto GRATIS respondiendo este mensaje con la palabra GRATIS Para términos y condiciones visita www.07781482378.com,"['CAPS', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'URL']",6,spam
"Hola, soy LUCY, mi esposo está en reuniones todo el día el viernes y yo estaremos solos en el hotel. ¿Te apetece comer comino? Por favor, deje un mensaje 2 días 09099726395 Lucy x Callså£1/minMobsmoreLKPOBOX177HP51FL",spam,Hola soy LUCY mi esposo está en reuniones todo el día el viernes y yo estaremos solos en el hotel. Te apetece comer comino Por favor deje un mensaje 2 días 09099726395 Lucy x Callså 1/minMobsmoreLKPOBOX177HP51FL,"['WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'PHONE', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",4,spam
¿Te gustaría ver mis fotos XXX? ¡Son tan calientes que casi fueron prohibidas en el Reino Unido!,spam,Te gustaría ver mis fotos XXX Son tan calientes que casi fueron prohibidas en el Reino Unido,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",1,ham
