text,label,mensaje_limpio,tokens
"La amistad no es un juego para jugar, no es una palabra que decir, no comienza en marzo y termina en mayo, es mañana, ayer, hoy y e.",0,La amistad no es un juego para jugar no es una palabra que decir no comienza en marzo y termina en mayo es mañana ayer hoy y e.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
Jajaja tienes razón. ¿Qué dieta? Todos los días hago trampa de todos modos. Estoy destinado a ser un gordito :(,0,Jajaja tienes razón. Qué dieta Todos los días hago trampa de todos modos. Estoy destinado a ser un gordito :,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
Jaja... De verdad oh no... ¿Cómo? ¿Entonces te descontarán la lección tmr?,0,Jaja... De verdad oh no... Cómo Entonces te descontarán la lección tmr,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
¿Cómo estás? ¿Tienes planeada alguna actividad emocionante tipo karaoke? Estoy debatiendo si jugar al fútbol esta noche. Aunque me siento perezoso.,0,Cómo estás Tienes planeada alguna actividad emocionante tipo karaoke Estoy debatiendo si jugar al fútbol esta noche. Aunque me siento perezoso.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
Excelente. Me estaba preocupando por ti. Solo debes saber que una persona maravillosa y cariñosa como tú solo tendrá lo mejor en la vida. Sepa que eres maravilloso y que el amor de Dios es tuyo.,0,Excelente. Me estaba preocupando por ti. Solo debes saber que una persona maravillosa y cariñosa como tú solo tendrá lo mejor en la vida. Sepa que eres maravilloso y que el amor de Dios es tuyo.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
¿Cómo te enteraste de una manera que no incluía todos estos detalles?,0,Cómo te enteraste de una manera que no incluía todos estos detalles,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
Bien. Usted sabe lo que quiero decir. mensajes de texto,0,Bien. Usted sabe lo que quiero decir. mensajes de texto,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
Hace sol en California. El clima es simplemente fresco,0,Hace sol en California. El clima es simplemente fresco,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
"Ummmmmaah Muchos, muchos felices regresos del día d mi querido y dulce corazón.. FELIZ CUMPLEAÑOS querido",0,Ummmmmaah Muchos muchos felices regresos del día d mi querido y dulce corazón.. FELIZ CUMPLEAÑOS querido,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'CAPS', 'WORD']"
Papá salió oredi...,0,Papá salió oredi...,"['WORD', 'WORD', 'WORD']"
Corto pero lindo: \Sé una buena persona,0,Corto pero lindo: Sé una buena persona,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
¿Iré a la explanada de casa?,0,Iré a la explanada de casa,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
"Moji, te amo más que las palabras. Que tengas un rico dia",0,Moji te amo más que las palabras. Que tengas un rico dia,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
Estaré afuera de la oficina y tomaré todo desde allí.,0,Estaré afuera de la oficina y tomaré todo desde allí.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
Esa licencia de una semana la puse en conocimiento de ese tiempo. Por qué.,0,Esa licencia de una semana la puse en conocimiento de ese tiempo. Por qué.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
"Sí, seguro que mi amigo ha ordenado todas mis cosas, pero de todos modos voy a sonar promocionando Hex para. Por cierto, ¿quién es? No sé el número. Broma",0,Sí seguro que mi amigo ha ordenado todas mis cosas pero de todos modos voy a sonar promocionando Hex para. Por cierto quién es No sé el número. Broma,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
"Eh, pero no puedo ir a tu casa con las manos vacías, ¿verdad?",0,Eh pero no puedo ir a tu casa con las manos vacías verdad,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
"Ya no estamos viendo la película. Xy quiere hacer 2 compras, así que voy a comprar con ella ahora.",0,Ya no estamos viendo la película. Xy quiere hacer 2 compras así que voy a comprar con ella ahora.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
¿Yo? Pensé en volver a ponerlo en la caja.,0,Yo Pensé en volver a ponerlo en la caja.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
Sé dónde está el &lt;#&gt; es que estaré allí alrededor de las 5,0,Sé dónde está el lt gt es que estaré allí alrededor de las 5,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
Quiero enviar &lt;#&gt; mensajes de hoy. Eso es. lo siento si me duele,0,Quiero enviar lt gt mensajes de hoy. Eso es. lo siento si me duele,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
"Hola cariño, acabo de regresar del trabajo y ¡quería verte todo el día! Espero no haberte cabreado hoy por teléfono. Si estás despierto llámame xxx",0,Hola cariño acabo de regresar del trabajo y quería verte todo el día Espero no haberte cabreado hoy por teléfono. Si estás despierto llámame xxx,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
"Él nunca se queja, pero yo estoy triste... Hee... Cómprelo después del almuerzo. Pero todavía nos reunimos a las 4 para el almuerzo y no. Neva escucha de ellos lei. ¿Tengo mucho trabajo?",0,Él nunca se queja pero yo estoy triste... Hee... Cómprelo después del almuerzo. Pero todavía nos reunimos a las 4 para el almuerzo y no. Neva escucha de ellos lei. Tengo mucho trabajo,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
Sí:)sura en sun tv.:)jaja.,0,Sí: sura en sun tv.: jaja.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
Pensé que deslizar era suficiente.,0,Pensé que deslizar era suficiente.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
Que tengas un buen día hoy. Te amo muchísimo.,0,Que tengas un buen día hoy. Te amo muchísimo.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
Hola mi dirección de correo electrónico ha cambiado ahora es,0,Hola mi dirección de correo electrónico ha cambiado ahora es,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
"vida alle mone,eppolum oru pole allalo",0,vida alle mone eppolum oru pole allalo,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
"¡Conseguí otro trabajo! ¡El del hospital haciendo análisis de datos o algo así, comienza el lunes! No estoy seguro de cuándo terminará mi tesis.",0,Conseguí otro trabajo El del hospital haciendo análisis de datos o algo así comienza el lunes No estoy seguro de cuándo terminará mi tesis.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
¿A qué hora quieres verme más tarde?,0,A qué hora quieres verme más tarde,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
Después de la droga podrá comer.,0,Después de la droga podrá comer.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
"Según su solicitud, 'Maangalyam (Alaipayuthe)' se ha configurado como su tono de llamada para todas las personas que llaman. Presiona *9 para copiar Callertune de tus amigos",0,Según su solicitud Maangalyam Alaipayuthe se ha configurado como su tono de llamada para todas las personas que llaman. Presiona 9 para copiar Callertune de tus amigos,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
Cuéntale querido lo que te pasa. ¿Por qué me hablas como un alienígena?,0,Cuéntale querido lo que te pasa. Por qué me hablas como un alienígena,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
Tú también...,0,Tú también...,"['WORD', 'WORD']"
"NOKIA o Motorola GRATIS con hasta 12 meses de alquiler lineal a 1/2 precio, 500 minutos x-net GRATIS y 100 txt/mes GRATIS B'tooth*. Llame a Mobileupd8 al 08001950382 o llame a 2optout/D3WV",1,NOKIA o Motorola GRATIS con hasta 12 meses de alquiler lineal a 1/2 precio 500 minutos x net GRATIS y 100 txt/mes GRATIS B tooth . Llame a Mobileupd8 al 08001950382 o llame a 2optout/D3WV,"['CAPS', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'PHONE', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
"¡Llame al 09094100151 para usar sus minutos! Las llamadas se emiten a 10 p/min (la mafia varía). Servicio proporcionado por AOM, solo 5 GBP al mes. AOM Box61,M60 1ER hasta que te detengas. ¡Solo mayores de 18 años!",1,Llame al 09094100151 para usar sus minutos Las llamadas se emiten a 10 p/min la mafia varía . Servicio proporcionado por AOM solo 5 GBP al mes. AOM Box61 M60 1ER hasta que te detengas. Solo mayores de 18 años,"['WORD', 'WORD', 'PHONE', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
¿Quieres un nuevo videoteléfono? 750 en cualquier momento ¿algún minuto de red? ¿Alquiler de línea a mitad de precio y texto gratis durante 3 meses? Responde o llama al 08000930705 para envío gratis,1,Quieres un nuevo videoteléfono 750 en cualquier momento algún minuto de red Alquiler de línea a mitad de precio y texto gratis durante 3 meses Responde o llama al 08000930705 para envío gratis,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'PHONE', 'WORD', 'WORD', 'WORD']"
Tienes un anuncio importante de servicio al cliente. ¡Llame al TELÉFONO GRATUITO 0800 542 0825 ahora!,1,Tienes un anuncio importante de servicio al cliente. Llame al TELÉFONO GRATUITO 0800 542 0825 ahora,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD']"
Tienes un anuncio importante de servicio al cliente. ¡Llame al TELÉFONO GRATUITO 0800 542 0825 ahora!,1,Tienes un anuncio importante de servicio al cliente. Llame al TELÉFONO GRATUITO 0800 542 0825 ahora,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD']"
"Su saldo de efectivo es actualmente de 500 libras; para maximizar su ingreso de efectivo, envíe GO al 86688 solo 150 peniques/mensaje. CC 08718720201 HG/Suite342/2Fila de tierras/W1J6HL",1,Su saldo de efectivo es actualmente de 500 libras para maximizar su ingreso de efectivo envíe GO al 86688 solo 150 peniques/mensaje. CC 08718720201 HG/Suite342/2Fila de tierras/W1J6HL,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'PHONE', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
"Nena: ¿Me quieres, verdad, nena? Soy desagradable y tengo algo con 4 tipos sucios. Te apetece pasar un momento grosero con una perra sexy. ¿Qué tal si vamos despacio y con fuerza? Texto XXX SLO(4msgs)",1,Nena: Me quieres verdad nena Soy desagradable y tengo algo con 4 tipos sucios. Te apetece pasar un momento grosero con una perra sexy. Qué tal si vamos despacio y con fuerza Texto XXX SLO 4msgs,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'CAPS', 'WORD']"
¿Quieres SEXO explícito en 30 segundos? Llama al 02073162414 ahora! Cuesta 20p/min Gsex POBOX 2667 WC1N 3XX,1,Quieres SEXO explícito en 30 segundos Llama al 02073162414 ahora Cuesta 20p/min Gsex POBOX 2667 WC1N 3XX,"['WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'PHONE', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD']"
"TONO DE LLAMADA GRATIS envía un mensaje de texto PRIMERO al 87131 para obtener un poli o envía un mensaje de texto ¡LLEGA al 87131 para obtener un tono verdadero! ¿Ayuda? 0845 2814032 16 después del primero gratis, los tonos son 3xå£150pw para finalizar la parada de texto",1,TONO DE LLAMADA GRATIS envía un mensaje de texto PRIMERO al 87131 para obtener un poli o envía un mensaje de texto LLEGA al 87131 para obtener un tono verdadero Ayuda 0845 2814032 16 después del primero gratis los tonos son 3xå 150pw para finalizar la parada de texto,"['CAPS', 'WORD', 'CAPS', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'PHONE', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'MONEY', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
Chat duro LIVE 121 a solo 60p/min. Elige a tu chica y conéctate EN VIVO. Llama ahora al 09094646899! El servicio en vivo más grande de Cheap Chat UK. VU BCM1896WC1N3XX,1,Chat duro LIVE 121 a solo 60p/min. Elige a tu chica y conéctate EN VIVO. Llama ahora al 09094646899 El servicio en vivo más grande de Cheap Chat UK. VU BCM1896WC1N3XX,"['WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'PHONE', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
¡PRIVADO! Su estado de cuenta de 2003 muestra 800 tarjetas SIM no canjeadas. puntos. Llamar 08718738001 Código Identificador: 49557 Vence el 26/11/04,1,PRIVADO Su estado de cuenta de 2003 muestra 800 tarjetas SIM no canjeadas. puntos. Llamar 08718738001 Código Identificador: 49557 Vence el 26/11/04,"['CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'PHONE', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
Gracias por su continuo apoyo. Su pregunta de esta semana participará en nuestro sorteo de £100 en efectivo. ¿Nombre al NUEVO presidente de los Estados Unidos? texto y respuesta a 80082,1,Gracias por su continuo apoyo. Su pregunta de esta semana participará en nuestro sorteo de 100 en efectivo. Nombre al NUEVO presidente de los Estados Unidos texto y respuesta a 80082,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'MONEY', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
+449071512431 ¡URGENTE! ¡Este es el segundo intento de contactar a U! U ha GANADO £ 1250 LLAME AL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. costo de llamada 150ppm móvilesvariar. máximo £ 7. 50,1,449071512431 URGENTE Este es el segundo intento de contactar a U U ha GANADO 1250 LLAME AL 09071512433 b4 050703 T CsBCM4235WC1N3XX. costo de llamada 150ppm móvilesvariar. máximo 7. 50,"['PHONE', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'CAPS', 'WORD', 'PHONE', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
"¡Has ganado 1.000€ en efectivo o un premio de 2.000€! Para reclamar llamar al 09050000327. Términos y condiciones: RSTM, SW7 3SS. 150 ppm",1,Has ganado 1.000 en efectivo o un premio de 2.000 Para reclamar llamar al 09050000327. Términos y condiciones: RSTM SW7 3SS. 150 ppm,"['WORD', 'WORD', 'WORD', 'MONEY', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'MONEY', 'WORD', 'WORD', 'WORD', 'WORD', 'PHONE', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD']"
"Como suscriptor de SIM, ¡estás seleccionado para recibir un bono! Recíbalo en su puerta. Envíe un mensaje de texto con la palabra OK al número: 88600 para reclamar. 150p/mensaje, EXP. 30abr",1,Como suscriptor de SIM estás seleccionado para recibir un bono Recíbalo en su puerta. Envíe un mensaje de texto con la palabra OK al número: 88600 para reclamar. 150p/mensaje EXP. 30abr,"['WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD']"
"¿Quieres echar un polvo? ¿Quieres que se envíen ubicaciones reales de Doggin directamente a tu móvil? Únase a la red de perros más grande del Reino Unido. Envía mensajes de texto a los perros al 69696 ahora! nyt. ec2a. 3lp å£1,50/mensaje.",1,Quieres echar un polvo Quieres que se envíen ubicaciones reales de Doggin directamente a tu móvil Únase a la red de perros más grande del Reino Unido. Envía mensajes de texto a los perros al 69696 ahora nyt. ec2a. 3lp å 1 50/mensaje.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'MONEY', 'WORD', 'WORD']"
